request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,affordable_later,wait,2024-06-15:1302.40,2024-06-15,none,"Wait until 15 June 2024, then pay EUR 1,302.40 in full. Paying sooner would put the EUR 1,100 minimum at risk."
request_29,39127.55,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,0,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 15 October 2024, then pay IDR 18,164,000 in full. Paying sooner would put the IDR 16,588,900 minimum at risk."
request_32,0,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Wait until 15 February 2025, then pay ZAR 40,018 in full. Paying sooner would put the ZAR 35,700 minimum at risk."
request_33,0,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Wait until 15 January 2026, then pay INR 118,000 in full. Paying sooner would put the INR 102,100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,0,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Wait until 15 December 2025, then pay INR 212,000 in full. Paying sooner would put the INR 106,400 minimum at risk."
request_36,0,affordable_later,wait,2026-08-15:3954,2026-08-15,none,"Wait until 15 August 2026, then pay USD 3,954 in full. Paying sooner would put the USD 2,400 minimum at risk."
request_37,0,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Wait until 15 March 2024, then pay IDR 14,649,000 in full. Paying sooner would put the IDR 17,056,200 minimum at risk."
request_38,0,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait until 15 September 2025, then pay EUR 971.30 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,0,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Wait until 15 April 2026, then pay INR 208,600 in full. Paying sooner would put the INR 213,400 minimum at risk."
request_40,0,affordable_later,wait,2024-06-15:1290.30,2024-06-15,none,"Wait until 15 June 2024, then pay EUR 1,290.30 in full. Paying sooner would put the EUR 1,500 minimum at risk."
request_41,0,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 15 December 2025, then pay IDR 38,760,000 in full. Paying sooner would put the IDR 25,366,600 minimum at risk."
request_42,0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,0,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Wait until 15 October 2024, then pay IDR 43,339,000 in full. Paying sooner would put the IDR 21,398,000 minimum at risk."
request_44,0,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Wait until 15 February 2025, then pay INR 95,800 in full. Paying sooner would put the INR 82,900 minimum at risk."
request_45,0,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Wait until 15 August 2026, then pay IDR 21,983,000 in full. Paying sooner would put the IDR 11,149,800 minimum at risk."
request_46,0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 3 December 2024. This leaves at least INR 84,000 available."
request_47,16349242.95,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,0,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,0,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,"Pay INR 28,870 today. This leaves at least INR 41,500 available over the next 90 days."
request_53,0,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 0 is available today, the full amount cannot be completed safely within 90 days."
request_55,0,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
